,name,authors,translator,broadcaster,price,publisher,date,language,vol,description,category,cover_loc
0, حرمسرای قذافی,آنیک کوژان,بیژن اشتری,معصومه عزیزمحمدی,"۳۰,۰۰۰ ",ماه آوا,۱۳۹۷/۰۷/۱۵, فارسی," 670.94 
                        ",دستخوش هیجان شدیدی شده بودم! وای چه جنبشی! چه انقلابی! چه شور و حالی! لیبیایی‌ها داشتند شورش می‌کردند، لیبی بیدار شده بود. عاقبت همه شماره تلفن‌هایی را که از باب العزیزیه داشتم از گوشی موبایم پاک کردم. آن‌ها از حالا به بعد کارهایی ضروری‌تر از یافتنم داشتند.,تاریخ,https://newcdn.fidibo.com/images/books/84633_91262_normal.jpg
1,دو قرن سکوتدانلود   دو قرن سکوت عبدالحسین زرین کوب,عبدالحسین زرین‌کوب,None,اکرم پریمون,"۴۳,۰۰۰ ",آوانامه,۱۳۹۸/۱۲/۰۵, فارسی," 669.98 
                        ",مطالعه‌ی تاریخ و سرگذشت کشورها و مردمان در دوره‌های مختلف همیشه توصیه شده و بسیار روی شناخت انسان از جامعه، فرهنگ و شرایطی که باعث شده تا هنجارها، ناهنجاری‌ها و بطور کلی جامعه کنونی شکل بگیرد تأثیرگذار است. یکی از کتاب‌های ارزشمند درباره‌ی اوضاع تاریخی ایران کتاب «دو قرن سکوت» اثر عبدالحسین زرین‌کوب است که در ادامه به معرفی آن می‌پردازیم.,تاریخ کهن,https://newcdn.fidibo.com/images/books/96873_72560_normal.jpg
2,پادکست پرچم سفید,پرچم سفید,None,احسان طریقت,None,پرچم سفید,۱۳۹۷/۰۸/۲۶, فارسی," 25.51 
                        ","
                                    جنگ جهانی دوم با بهانه‌ها و دلایل زیادی اتفاق افتاده. دلایلی که باید به دقت به اونها پرداخته بشه. در اولین قسمت از پادکست پرچم سفید به یکی از مهمترین دلایل جنگ جهانی دوم یعنی تولد رایش سوم می‌پردازیم.

منابع

– ظهور و سقوط رایش سوم، نوشته ویلیام شایرر، ترجمه کاوه دهگان
– آدولف هیتلر (چگونه هیتلر به قدرت رسید و نابود شد)، نوشته پیتر بوروسکی، ترجمه داریوش صادقی‌پور
– امپراتوری هیتلر، نوشته گیل بی.استورات، ترجمه مهدی حقیقت‌خواه                                                                    ",پرچم سفید,https://newcdn.fidibo.com/images/books/85922_33470_normal.jpg
3, جنگ چهره‌ی زنانه ندارد,سوتلانا آلکساندرونا الکسیویچ,عبدالمجید احمدی,مهسا ملک مرزبان,"۴۵,۰۰۰ ",رادیو گوشه,۱۳۹۹/۰۷/۲۷, فارسی," 811.78 
                        ",آن‌هایی که جنگ را تجربه کرده‌اند، می‌دانند که داستان‌های غم‌انگیز و هولناک جنگ هیچ‌گاه قدیمی نمی‌شود. جنگ جهانی دوم یکی از ویران‌کننده‌ترین جنگ‌های تاریخ است که بیش از 30 کشور را شعله‌های خود سوزاند و میلیون‌ها انسان را کشت و آواره کرد. کمتر فیلم یا اثر هنری را می‌توان یافت که به نقش زن‌ها در جنگ جهانی دوم پرداخته باشد. سوتلانا آلکساندرونا الکسیویچ در کتاب «جنگ چهره‌ی زنانه ندارد» زندگی زنانی را روایت می‌کند که با شجاعت در برابر دشمنان خود جنگیده‌اند اما هیچ‌گاه مدال افتخار دریافت نکرده‌اند و از آن‌ها تقدیر نشده است., تاریخ جهان,https://newcdn.fidibo.com/images/books/104564_82345_normal.jpg
4, امپراطوری ایران,دان ناردو,مرتضی ثاقب‌ فر,آرمان سلطان‌زاده,"۳۴,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۳, فارسی," 332.42 
                        ",در طول تاریخ نقاط تحول‌انگیز زیادی وجود دارد که بسیار تاثیرگذار بر روند زندگی مردمان بعد از آن واقعه بوده است. ورود اسلام به امپراطوری ایران باستان یکی از وقایع مهمی است که تا امروز زندگی مردم کشور ایران را تحت تاثیر خود قرار داده است. این اتفاق طی حملات مکرری به امپراطوری ساسانی به وقوع پیوسته که برای اطلاع دقیق از روند شکل‌گیری این حملات و ورود یک دین جدید به یک سرزمین پهناور و متمدن لازم است از پیش از آن اتفاق‌ها اطلاع داشته باشیم. دان ناردو، تاریخ‌دان اهل آمریکا در این باره کتاب امپراطوری ایران را نگاشته است. کتاب صوتی امپراطوری ایران سرزمین ایران پیش از ورود اسلام و روابطش با کشورهای دیگر را توضیح می‌دهد.,تاریخ کهن,https://newcdn.fidibo.com/images/books/82071_39566_normal.jpg
5, تاریخ بیهقی,ابوالفضل محمد بن حسین بيهقی,None,احسان چریکی,"۸۴,۰۰۰ ", کتاب نیستان,۱۳۹۹/۰۲/۲۷, فارسی," 1396.89 
                        ","
                                    تاریخ بیهقی، تألیف ابوالفضل محمد بن حسین بیهقی، متعلق به سده پنجم هجری است. این تاریخ یک اثر عمومی است. بیهقی مانند دیگر آثار تاریخ‌نگاری شده توسط مسلمانان، مطالبش را از آفرینش انسان و تاریخ ایران و عرب، آغاز کرده و ادامه داده است. نسخه کامل این تاریخ در اصل سی مجلد بوده که امروز فقط شش جلد آن بر جای مانده است. مطالب باقی مانده، بیشتر در بردارنده حوادث روزگار غزنویان به ویژه دوره سلطان مسعود است و درست به همین علت است که تاریخ بیهقی را «تاریخ مسعودی» هم می‌نامند.
کتاب به سه جلد تقسیم شده که هر جلد مشتمل بر دو مجلد است: جلد یکم شامل مجلد پنجم و ششم، جلد دوم شامل مجلد هفتم و هشتم و جلد سوم شامل مجلد نهم و دهم است. بیهقی در نوشتن تاریخ خود علمی و روشمند عمل کرده است و چنان نوشته است که به تعصبی و تزیدی نکشد. او سالیان سال، بر پایه اسناد و مدارک معتبر به تألیف و نگارش پرداخته است.                                                                    ",تاریخ کهن,https://newcdn.fidibo.com/images/books/98875_23647_normal.jpg
6, جنگ جهانی دوم در اروپا,فیلیپ گاوین,مهدی حقیقت خواه,آرمان سلطان‌زاده,"۳۱,۰۰۰ ",آوانامه,۱۳۹۵/۱۰/۱۵, فارسی," 238.61 
                        ",جنگی آنقدر بزرگ را تصور کنید که پنجاه میلیون نفر را از پا دربیاورد. جنگی که بین دو کشور نبود بلکه بین دو مجموعه کشور بود و سراسر دنیا را درگیر خود کرد. تا امروز کتاب‌های زیادی درباره‌ی این جنگ، چگونگی برپایی آن و افراد دخیل در آن نوشته شده است. کتاب صوتی جنگ جهانی دوم در اروپا، کتابی کامل و جامع درباره‌ی این واقعه‌ی تاریخی است. ,تاریخ,https://newcdn.fidibo.com/images/books/84275_22817_normal.jpg
7,پادکست پرچم سفید,پرچم سفید,None,احسان طریقت,None,پرچم سفید,۱۳۹۷/۰۹/۱۲, فارسی," 37.97 
                        ","
                                    با به قدرت رسیدن هیتلر شرایط زندگی مردم در آلمان تغییر می‌کنه. ظواهر مثبتی که در لایه‌های زیرین با خفقان و دیکتاتوری همراه میشه. در این قسمت به بررسی زندگی در دوران صدارت هیتلر در قبل از شروع جنگ جهانی دوم می‌پردازیم.

منابع:

– ظهور و سقوط رایش سوم، نوشته ویلیام شایرر، ترجمه کاوه دهگان
– آدولف هیتلر (چگونه هیتلر به قدرت رسید و نابود شد)، نوشته پیتر بوروسکی، ترجمه داریوش صادقی‌پور
– امپراتوری هیتلر، نوشته گیل بی.استورات، ترجمه مهدی حقیقت‌خواه                                                                    ",پرچم سفید,https://newcdn.fidibo.com/images/books/85923_43359_normal.jpg
8, آشنایی با تاریخ ایران,عبدالحسین زرین‌کوب,None,اکرم پریمون,"۳۹,۰۰۰ ",آوانامه,۱۳۹۹/۰۶/۰۲, فارسی," 637.63 
                        ","
                                    - از دل تاریخ
وقتی سخن از تاریخ ایران می‌شود بی درنگ نام عبدالحسین زرین‌کوب در ذهن کتاب دوستان متبلور می‌شود. نویسنده‌ای توانا که با قلم خود تاریخ ایران قبل و بعد اسلام را به تصویر کشیده است. کتاب «آشنایی با تاریخ ایران» متشکل از کنفرانس‌هایی است که دکتر زرین‌کوب در کلاس‌های خود تدریس و به قبل و بعد اسلام بخش‌بندی می‌شود. وی در این اثر فقط به سلسله‌های موجود در ایران و تاریخی که آن‌ها رقم زده‌اند بسنده نمی‌کند و مجموعه گذشته ایران را نیز مد نظر قرار می‌دهد. به همین دلیل این کتاب مورد توجه بسیاری از علاقمندان به تاریخ قرار گرفته است.

- صدای ایران
کتاب صوتی «آشنایی با تاریخ ایران» که توسط نشر صوتی آوانامه و با صدای اکرم پریمون تولید و منتشر شده است امکان کنکاش در دل تاریخ این سرزمین را برای مخاطبان خود فراهم می‌کند.

- ادیب و محقق
عبدالحسین زرین‌کوب متولد ۲۷ اسفند ۱۳۰۱ در بروجرد دیده به جهان گشود. وی در حوزه‌های متنوعی از جمله حقوق، الهیات، ادبیات عرب، ادبیات فارسی و تاریخ از خود کتاب‌های ارزنده‌ی بسیاری به یادگار گذاشته است که تعدادی از آن‌ها جزء منابع درسی و پژوهشی محسوب می‌شوند.
وی به عنوان ادیب، نویسنده، مترجم و تاریخ‌نگار برای اهالی ادب و فرهنگ چهره‌ای برجسته می‌باشد. زرین‌کوب چهار دهه در دانشگاه‌های معتبر ایران و جهان از جمله دانشگاه تهران، آکسفورد، سوربن و... مشغول به تدریس بود. نام وی را می‌توان کنار بزرگانی همچون بدیع‌الزمان فروزان‌فر، پرویز ناتل خانلری، غلام‌حسین صدیقی، عباس زریاب خویی، محمد معین و... قرار داد.
از کتاب‌ها و آثار او می‌توان در حوزه‌ی ادبیات به «با کاروان حله»، «شعر بی‌دروغ شعر بی‌نقاب»، «از کوچه رندان»، «پله پله تا ملاقات خدا»، «بحر در کوزه»، «فلسفه‌ی شعر»، «نقد ادبی» و... و در حوزه‌ی تاریخ به «تاریخ ایران بعد از اسلام»، «تاریخ مردم ایران»، «روزگاران»، «بامداد اسلام»، «کارنامه‌ی اسلام» و... نام برد. همچنین زرین‌کوب کتاب‌های ارزنده‌‌ای در پژوهش و بررسی و نیز ترجمه دارد که می‌توان به «ارزش میراث صوفیه»، «فرار از مدرسه»، «جست‌وجو در تصوف در قلمرو وجدان»، «شعله‌ی طور»، «بنیاد شعر فارسی»، «ادبیات فرانسه در قرون وسطی»، «ادبیات فرانسه در دوره‌ی رنسانس» و... اشاره نمود. وی علاوه بر کتاب‌های ارزشمندش، مقاله‌های بسیاری نیز از خود به جای گذاشته‌است. این نویسنده و محقق بزرگ در ۲۴ شهریور ۱۳۷۸ در تهران درگذشت.

- بخشی از کتاب
بحث ما درباره تاریخ ایران است. البته وقتی از تاریخ ایران صحبت می‌شود نباید فراموش کرد که مجموع گذشته‌ی ایران را باید در نظر گرفت نه فقط تاریخ سلسله‌ها را، به آن صورت که شاید در دبیرستان‌ها بررسی کرده باشید. درست است که از قدیم وقتی صحبت از تاریخ می‌شده‌است به خصوص در ایران- از تاریخ همان را می‌دانستند که سلسله‌ها چطور شروع شده‌است، هر سلسله چند نفر فرمانروا داشته است، در حقیقت مثل این که در آن گونه تاریخ‌ها فقط کنجکاوی خواننده را می‌خواستند ارضاء بکنند.                                                                    ",تاریخ کهن,https://newcdn.fidibo.com/images/books/102872_67253_normal.jpg
9, بازجویی از صدام,جان نیکسون,هوشنگ جیرانی,میلاد تمدن,"۳۰,۰۰۰ ",ماه آوا,۱۳۹۷/۱۰/۱۵, فارسی," 504.12 
                        ",«تو باید بروی آن بیرون و مطمئن شوی این کسی که نصف شب گرفته‌اند، صدام حسین است». پس از سال‌ها انتظار، «جان نیکسون» مامور شده بود یکی از خشن‌ترین و بدنام‌ترین شخصیت‌های سیاسی دوران را شناسایی کند. نیکسون، یکی از حرفه‌ای‌ترین تحلیل‌گران سازمان سیا، تمام آن شب را بیدار ماند تا طرح بازجویی از مردی را بریزد که در گودالی مخفی در زیر زمین دستگیر شده بود. نیروهای آمریکایی احتمال می‌دادند که این مرد، همان صدام حسین باشد، که به مزارع اطراف زادگاه خود پناه برده است. اما تنها کسی که می‌توانست صدام واقعی را تشخیص دهد، نیکسون بود. او سال‌ها روی زندگی و شخصیت صدام، مطالعه و تحقیق‌های زیادی انجام داده بود و بنابراین تنها گزینه برای راستی‌آزمایی شخصیت این مرد مجهول‌الهویت بود. گرچه تمام این اما و اگرها، با یک آزمایش ساده‌ی DNA قابل حل بود، اما مقامات تصمیم گرفته بودند پیش از هر آزمایش ژنتیک، براساس تجربیات خود و واکنش‌های زندانی، به هویت او پی ببرند. او در سال 2016 شرح کامل تمام وقایع را از آغاز ماموریت تا محکومیت صدام، در کتاب «بازجویی از صدام، تخلیه اطلاعاتی رییس جمهور» منتشر کرد، که در ایران «هوشنگ جیرانی» آن را به فارسی ترجمه کرد. انتشار این کتاب، عکس‌العمل‌های زیادی از منتقدان سراسر جهان در پی داشت. اما همه‌ی آن‌ها در یک چیز اتفاق نظر داشتند: «کتاب فوق‌العاده‌ای از زندگی یکی از خشن‌ترین آدم‌های تاریخ». در این کتاب اطلاعات تاریخی و سیاسی بسیار جالبی از زندگی صدام وجود دارد. برای کسانی که به‌نوعی به روند ماموریت‌های فوق سری و بازجویی‌های محرمانه علاقه‌دارند، این کتاب خالی از جذابیت نیست.,تاریخ معاصر,https://newcdn.fidibo.com/images/books/88796_49867_normal.jpg
