,name,authors,translator,price,publisher,price_printed,date,language,vol,pages,isbn,description,category,cover_loc
0,نبرد من,آدولف هيتلر,فرشته اكبرپور,"۳۰,۰۰۰ ", نگاه," ۷۲,۵۰۰ ",۱۳۹۱/۱۰/۱۵, فارسی," 5.46 
                        "," ۶۶۳ 
                            ",978-964-351-807-3,شکی در این نیست که آدولف هیتلر یکی از تأثیرگذارترین سیاست‌مداران و رهبران قرن بیستم بوده است. کمتر کسی اسم این دیکتاتور را نشنیده است و از نحوه‌ی حکومت او بر آلمان بی‌خبر است. هیتلر در سال ۱۹۳۳ به عنوان صداعظم آلمان انتخاب شد و در نهایت در سال ۱۹۳۴ زمانی که با مرگ فن هیندنبورگ اختیارات رئیس‌جمهور نیز به او اعطا شد،‌ بطور رسمی رهبری آلمان را به عهده گرفت. این سرجوخه سابق آلمان، زمانی که به خاطر کودتا در قلعه‌ی لندربرگ زندانی بود شروع به نوشتن کتابی کرد تا مانیفست اندیشه سیاسی خود را مکتوب کند. این کتاب که بعدها «نبرد من» نام گرفت، پایه‌ی برپایی حزب ناسیونالیسم آلمان شد و به کتاب مقدس حکومت نازی تبدیل شد., تاریخ جهان,https://newcdn.fidibo.com/images/books/1009_46956_normal.jpg
1, کتاب تاريخ سری جنايت‌های استالين  الكساندر آرلوف  فیدیبو,الكساندر آرلوف,عنایت‌الله رضا,None, کتاب‌سرا," ۱۲,۵۰۰ ",۱۳۸۹/۱۰/۱۵, فارسی," 4.19 
                        "," ۵۰۳ 
                            ",978-964-5506-18-4,"
                                     اتهامات عجیب و بی رحمانه استالین علیه اعضای باسابقه حزب بهت و حیرت جهانیان را برانگیخت.کسانی که در برابر دادگاه مسکو قرار گرفته بودند در سراسر جهان شهرتی به سزا داشتند.
اینها کسانی بودند که همراه لنین و تروتسکی توده های زحمتکش سراسر روسیه را به بزرگترین انقلاب سوسیالیستی رهنمون شدند و دولتی را در جهان پدید آوردند که مشابه آن هرگز در تاریخ دیده نشده بود...                                                                    ",تاریخ,https://newcdn.fidibo.com/images/books/4013_97814_normal.jpg
2,کهکشان نیستی,"
 
                                                                                            
محمدهادی اصفهانی ",None,"۴۰,۰۰۰ ",فیض فرزان,None,۱۳۹۹/۱۲/۰۲, فارسی," 3.86 
                        "," ۵۵۸ 
                            ",978-622-959955-6,کمتر کتابی را می‌توان یافت که با یک سیر داستانی جذاب و گیرا، زندگی یکی از بزرگان مذهب شیوه را به تصویر بکشد. بسیاری از افراد تصور می‌کنند بزرگان دین عزلت نشین و گوشه گیر بوده اند اما با مطالعه کتاب کهکشان نیستی درمی‌یابید که بسیاری از آنها زندگی بسیار پویایی داشته‌اند و قدم‌های بزرگ و مهمی در این عرصه برداشته‌اند. این کتاب شما را با زندگی 81 ساله‌ی مردی بزرگ و عالم آشنا خواهد ساخت.,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/110581_80746_normal.jpg
3,صلحی كه همه‌‌ی صلح‌‌ها را بر باد داد,ديويد فرامكين,حسن افشار,"۹۹,۰۰۰ ", ماهی," ۱۶۵,۰۰۰ ",۱۳۸۸/۱۰/۱۵, فارسی," 5.26 
                        "," ۶۲۴ 
                            ",978-964-209-048-8,خاورمیانه سرزمین عجیبی است. جغرافیای خاص این منطقه در طول تاریخ باعث شده است این سرزمین روز خوش نبیند. همواره ابرقدرت‌ها تلاش کرده‌اند بازی را در این منطقه بر اساس منافعشان پیش ببرند و این تضاد منافع برای مردم این سرزمین همیشه جنگ و خون و آتش به همراه داشته است. به نظر می‌رسد خاورمیانه هرگز به آرامش نخواهد رسید. دیوید فرامکین در کتاب صلحی که همه‌ی صلح‌ها را بر باد داد از سقوط امپراتوری عثمانی و ظهور خاورمیانه‌ی جدید می‌نویسد و از بسیاری از  پیچیدگی‌های سیاسی‌ای که سرنوشت مردم این منطقه را تحت تاثیر خود قرار داده است، پرده بر می‌دارد., تاریخ جهان,https://newcdn.fidibo.com/images/books/84391_62911_normal.jpg
4,فرار از اردوگاه ۱۴,بلین هاردن,مسعود یوسف حصیرچین,"۲۶,۰۰۰ ", چشمه," ۴۸,۰۰۰ ",۱۳۹۴/۰۴/۱۵, فارسی," 1.85 
                        "," ۲۲۹ 
                            ",978-600-229-328-2,جایی در شمال مدار ۳۸ درجه کشوری عجیب وجود دارد. کشوری که کمتر خبری از آن به بیرون درز می‌کند و کمتر کسی چیزی از زندگی عادی مردم آن می‌داند. سال‌هاست که سفر آزادانه به این نقطه از کره‌ی زمین یا از این نقطه به نقاط دیگر غیرممکن است. کره‌ی شمالی جایی است که بیشترین اطلاعاتی که از آن داریم وابسته به خاطرات افرادی است که توانسته‌اند از این کشور بگریزند. «رهبر عزیز»، «آکواریوم‌های پیونگ‌یانگ» و «روح گریان من» از جمله کتاب‌هایی است که افراد مختلفی که توانسته‌اند از این کشور بگریزند نوشته‌اند. فرار از اردوگاه ۱۴ یکی دیگر از این کتاب‌ها و شاید عجیب‌ترین آن‌هاست. این کتاب خاطرات کسی است که تمام عمرش را در اردوگاه‌ّهای کار کره‌ی شمالی گذراند و پیش از فرار هیچ‌تصویری از زندگی معمولی نداشت. او از جایی آمده است که حتی مردم معمولی کره هم چیزی از آن نمی‌دانند. کتاب فرار از اردوگاه ۱۴ سال ۲۰۱۲ توانست عنوان بهترین کتاب از نگاه خوانندگان سایت گودریدز را به دست آورد., تاریخ جهان,https://newcdn.fidibo.com/images/books/64149_67874_normal.jpg
5,معمای اشغال سفارت آمریکا در ایران,"
 
                                                                                            
جعفر مهدی‌نیا ",None,None, امیدفردا," ۴۹,۰۰۰ ",۱۳۸۸/۱۰/۱۵, فارسی," 5.93 
                        "," ۴۴۰ 
                            ",964-5731-91-7,"
                                    پس از پایان جنگ اول جهانی و آغاز انقلاب کمونیستی در روسیه، که منجر به فروپاشی امپراتوری تزار روسیه گردید، انگلستان از این فرصت استفاده نموده، به گسترش نفوذ و سلطه‌ی خود در نقاط مختلف جهان ـ از آن جمله در ایران ـ برآمد... این نفوذ بریتانیای کبیر با ورود عامل تازه‌ای به صحنه‌ی سیاسی گستردگی بیشتری یافت. این عامل جدید نفت بود... زیرا در آن تاریخ انگلستان طرح تبدیل سوخت کشتی‌های جنگی و تجارتی خود را از ذغال سنگ به‌نفت آغاز کرده بود، که به پیشنهاد «وینستون چرچیل»، لرد اول دریاداری انگلیس، دولت انگلستان در کشف و استخراج نفت جنوب ایران سرمایه‌گذاری کرد و در استخراج، فروش و صدور آن با ایران شریک شد!! از آن به‌بعد شرکت نفت «ایران و انگلیس»، دولتی در داخل دولت ایران به‌شمار می‌آمد و در تمام امور سیاسی ایران، آشکار و یا پنهان، دخالت می‌کرد. تا اینکه واقعه‌ی تاریخی سقاخانه‌ی آشیخ هادی پیش آمد که منجر به‌قتل «ماژور ایمبری»، کنسول آمریکا، شد که توطئه‌ی این قتل را سفارت انگلیس با «مصطفی فاتح»، برای جلوگیری از انعقاد قرارداد اکتشاف و استخراج نفت بین ایران و آمریکا، در نقاط مختلف ایران ترتیب داده بودند؛ و این حادثه، قتل ماژور ایمبری، عامل اصلی انصراف ایالات متحده‌ی آمریکا از برقراری روابط نزدیک سیاسی و اقتصادی با ایران گردید...                                                                    ",تاریخ معاصر,https://newcdn.fidibo.com/images/books/3529_22499_normal.jpg
6,جنگ چهره‌ی زنانه ندارد,سوتلانا آلکساندرونا الکسیویچ,عبدالمجید احمدی,"۳۸,۰۰۰ ", چشمه," ۷۶,۰۰۰ ",۱۳۹۵/۰۷/۱۵, فارسی," 2.51 
                        "," ۳۶۴ 
                            ",978-600-229-663-4,قصه‌های جنگ پایانی ندارد. جنگ‌ها همیشه تا سالیان سال پس‌از پایان، همچنان قربانیان خود را می‌گیرند. جنگ جهانی دوم یکی از بزرگ‌ترین فجایع بشری است که تعداد انسان‌هایی که تحت تاثیرش قرار گرفتند، از شماره خارج است. دختران و زنان روسی زیادی در این جنگ برای ارتش اتحاد جماهیر شوروی جنگیدند، دخترانی که هرگز قهرمان جنگ به حساب نیامدند., تاریخ جهان,https://newcdn.fidibo.com/images/books/62989_77673_normal.jpg
7,مهاتما گاندی و مارتین لوترکینگ,مری كينگ,شهرام نقش‌تبريزی,"۳۰,۰۰۰ ", نی," ۵۰,۰۰۰ ",۱۳۹۴/۱۰/۱۵, فارسی," 4.81 
                        "," ۳۲۸ 
                            ",978-964-312-807-4,"
                                    فرهنگ صلح به هیچ وجه مترادف با فرهنگ انفعال نیست. عبارت «مبارزه‌ی عاری از خشونت» و «نافرمانی مدنی» تداعی‌کننده‌ی نام دو رهبر تأثیرگذار در حیطه‌ی مبارزات مردمی کشورهای دنیاست: مهاتما گاندی و مارتین لوتر کینگ. عدم خشونت، ترفندی برای حرکت است نه بهانه‌ای برای رخوت یا فرمانبری... پایه‌های آن بر اندیشه‌های بزرگ و دستورات والای اخلاقی برای همه‌ی مردم و در هر قدم از زندگی نهاده است: گاندی را می‌بینیم که به سوی دریا می‌رود و در سکوت مشتی نمک از آن برمی‌گیرد، روزا پارکس را می‌بینیم که بر صندلی خود در اتوبوس مونتگامری نشسته و حاضر نیست از آن برخیزد و مارتین لوتر کینگ را می‌بینیم که به همراه هزاران نفر دیگر سوارشدن به اتوبوس را تحریم کرده و با پای پیاده به محل کار می‌رود.
فرهنگ صلح، تعهدی است جدی و همیشگی به بیان صریح اعتقادات و به دوست داشتن همسایگان و سهیم ساختن آن‌ها در ایده‌آل‌ها و آرزوها. این، درسی است که گاندی و کینگ به ما می‌آموزند و سرنوشت و پایان زندگی آن‌ها نیز جز این را نمی‌گوید...
دو فصل نخست این کتاب به زندگی و سیر تحول فکری و شخصیتی این دو رهبر می‌پردازد و در فصل سوم، افکار و اندیشه‌های این دو شخصیت به صورت موضوعی و مقابله‌ای به تصویر کشیده می‌شود.                                                                    ",علوم سیاسی,https://newcdn.fidibo.com/images/books/80061_13366_normal.jpg
8,غرب چگونه غرب شد,"
 
                                                                                            
صادق زیباکلام ",None,"۱۷,۵۰۰ ", روزنه," ۳۵,۰۰۰ ",۱۳۹۵/۰۱/۱۵, فارسی," 2.17 
                        "," ۲۹۶ 
                            ",978-964-334-577-8, اتفاق‌ها و وقایع مختلف سیاسی، اجتماعی و اقتصادی در طول چند صد سال سبب تولد اروپای مدرن شده است که برای بررسی این مسیر پرتلاطم تاریخی، مطالعه‌ی منایع معتبر بسیار ضروری است. کتاب غرب چگونه غرب شد؟ نوشته‌ی صادق زیبا کلام یکی از منابع معتبر به زبان فارسی است که می‌توان برای بررسی شکل‌گیری تمدن اروپا به آن اعتماد کرد.,تاریخ,https://newcdn.fidibo.com/images/books/62897_35660_normal.jpg
9,آقای سفیر,"
 
                                                                                            
محمدمهدی راجی‌ ",None,"۵۸,۰۰۰ ", نی," ۹۸,۰۰۰ ",۱۳۹۲/۱۰/۱۵, فارسی," 5.11 
                        "," ۳۶۸ 
                            ",978-964-185-298-8,روابط خارجی ایران از دوره‌ی قاجار تا به امروز تاریخ پرفراز و نشیبی داشته است. اما سیاست‌ خارجی درست دیپلمات‌های تمام عیار ایران در دهه‌ی اخیر باعث شد تا در بسیاری از بزنگاه‌های حساس و نفس‌گیر سیاسی و دیپلماسی، کشور ایران از پس تنگناها عبور کند. بخش عمده‌ی موفقیت‌های کشور در روابط خارجه حاصل تلاش گروه وزارت خارجه‌ی ایران به ویژه در هشت سال گذشته بوده است. این یکی از دلایلی است که امروز ایران به عنوان کشوری با ثبات در منطقه و جهان شناخته می‌شود. محمد جواد ظریف وزیر وقت وزرات امورخارجه‌ی ایران و یکی از چهره‌های سیاسی برجسته‌ی بین‌المللی است که در روابط خارجی ایران نقش موثری داشته است. کتاب «آقای سفیر» مصاحبه‌ی مفصلی با دکتر ظریف است که مخاطبان را با زندگی‌ شخصی و کاری او و همچنین تاریخ سیاست امور خارجه ایران از آغاز تا به امروز آشنا می‌کند.,تاریخ معاصر,https://newcdn.fidibo.com/images/books/1307_94769_normal.jpg
