,name,authors,translator,broadcaster,price,publisher,date,language,vol,description,category,cover_loc
0, دروغگویی روی مبل,اروین یالوم,حسین کاظمی‌یزدی,فرهاد اتقیایی  ،                                                                                                             کامبیز خلیلی  ،                                                                                                             هوتن شاطری‌پور,"۴۲,۰۰۰ ", کتاب‌سرای نیک,۱۳۹۸/۱۰/۱۵, فارسی," 518.18 مگابایت
                        ",None,روانکاوی,https://newcdn.fidibo.com/images/books/96258_73620_normal.jpg
1, مردی به نام اوه,فردریک بکمن,حسین تهرانی,آرمان سلطان‌زاده,"۴۳,۰۰۰ ",آوانامه,۱۳۹۵/۱۰/۱۵, فارسی," 701.12 مگابایت
                        ",اینکه همیشه میگویند آدم ها را قضاوت نکن حرف درستی است. قضاوت زودهنگام باعث جدایی و دوری آدم‌ها از هم می‌شود. به‌عنوان مثال اگر شما همسایه یک پیرمرد غرغرو و بداخلاق باشید نباید چنین تصوری داشته باشید که او همیشه این طور است. بلکه دوستی و صمیمیت با اوست که باعث شناخت بیشتر از یکدیگر می‌شود. اوه در کتاب صوتی مردی به نام اوه هم چنین شخصیتی دارد. مردی به ظاهر خشک و جدی اما مهربان و دلنشین.,داستان و رمان آلمان,https://newcdn.fidibo.com/images/books/84028_14845_normal.jpg
2, سه شنبه‌ها با موری,میچ البوم,ماندانا قهرمانلو,آرمان سلطان‌زاده,"۳۴,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۳, فارسی," 412.58 مگابایت
                        ",«کتابی با نگارش عالی، سخنی روشن از خرد و فراست که از روی عشق، سادگی در فراسوی پیچیدگی‌های زندگی را ترسیم کرده است.» این جملات را دکتر اسکات پک درباره‌ی کتاب سه‌شنبه‌ها با موری گفته است. کتابی بسیار مهم و تأثیرگذار درباره‌ی معنای زندگی از نویسنده و روزنامه‌نگار آمریکایی «میچ آلبوم». نویسنده‌ی کتاب‌های «اولین تماس تلفنی از بهشت» کتابی نوشته است که امروز، پس از بیش از بیست سال از نخستین انتشار آن هنوز هم یکی از پرفروش‌ترین کتاب‌های دنیاست. ,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/82103_93369_normal.jpg
3, قلعه حیوانات,جورج اورول‌,امیر امیرشاهی,بیژن  گنجعلی  ،                                                                                                             میرطاهر مظلومی  ،                                                                                                             میلاد فتوحی,"۲۸,۰۰۰ ",نوین کتاب,۱۳۹۸/۰۸/۱۹, فارسی," 212.24 مگابایت
                        ",کتاب مزرعه حیوانات یکی از پرمخاطب‌ترین کتاب‌های دنیا است. این کتاب نه فقط مناسب اعتراض و کنایه به نظام شوروی بلکه مناسب برای اعتراض به تمامی دولت‌ها است. نمادهای این کتاب هیچگاه قدیمی نمی‌شوند. اگر نگاهی به اطرافتان بیاندازید قطعا معانی این نمادها را دقیقا در کنار خودتان خواهید دید.,نمایشنامه,https://newcdn.fidibo.com/images/books/94546_63848_normal.jpg
4, آینه,محمود دولت‌آبادی,None,میلاد تمدن,None,ماه آوا,۱۳۹۶/۱۲/۰۱, فارسی," 14.8 مگابایت
                        ",«کلیدر»، «جای خالی سلوچ»، «ادبار و آینه»، «بنی آدم» و «طریق بسمل شدن» از جمله آثار گران‌بها و ماندگار ادبیات فارسی است که در سده‌ی گذشته به قلم محمود دولت‌‎آبادی نوشته شده است. «کلیدر» که نمونه‌ی شاهکار از محمود دولت‌‎آبادی است در چند جلد نگاشته شده‌ و بسیار طولانی است و ممکن است بعضی از افراد برای خواندن آن‌ زمان کافی را نداشته‌ باشند پس خواننده می‌تواند به سراغ آثار کوتاه این نویسنده‌ برود. داستان‌های کوتاه این نویسنده مانند کتاب صوتی آینه کم از ارزش آثار بلند او ندارند و خواننده می‌تواند با مطالعه‌ی آن‌ها از قلم توانای محمود دولت‌‎آبادی بهره ببرد.,کتاب‌های رایگان ,https://newcdn.fidibo.com/images/books/82307_51925_normal.jpg
5, گربه زیر باران,ارنست همینگوی,زهرا تدین,میلاد تمدن,None,ماه آوا,۱۳۹۷/۰۳/۰۱, فارسی," 12.1 مگابایت
                        ",None,None,https://newcdn.fidibo.com/images/books/82316_54026_normal.jpg
6, کیمیاگر,پائولو کوئیلو,حسین نعیمی,احمد گنجی,"۳۴,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۳, فارسی," 424.21 مگابایت
                        ",اگر به دنبال کتاب می‌گردید که روز و شب ذهن شما را درگیر کند و شما را به سمت یک زندگی بهتر سوق دهد شک نداشته باشید که کتاب کیمیاگر اثر پائولو کوئیلو این ویژگی را دارد. سبک نوشتاری این کتاب آنقدر لطیف است که خواننده تمایل به خواندن دوباره‌ی کتاب‌ و همه‌ی سطرهای آن خواهد داشت. کیمیاگر درباره‌ی فلسفه‌ی زندگی است؛ موضوعی که هرروزه برای یافتن پاسخش روزها را صرف می‌کنیم و شب‌ها را بیدار می‌مانیم. ‌,داستان و رمان آمریکای جنوبی,https://newcdn.fidibo.com/images/books/82084_31899_normal.jpg
7, گرامافون,شرمین نادری,None,بهرام شاه‌محمدلو,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),۱۴۰۰/۰۷/۲۴, فارسی," 38.36 مگابایت
                        ",None,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/121662_88167_normal.jpg
8, مرگ ایوان ایلیچ,لئو تولستوی,سروش حبیبی,محسن زرآبادی‌پور,"۲۶,۰۰۰ ",آوانامه,۱۳۹۵/۱۰/۱۵, فارسی," 192.29 مگابایت
                        ",مرگ اگرچه مفهومی مشترک میان همه موجودات است اما می‌توان گفت برای هر انسانی مقابله و رویارویی با مرگ متفاوت است. گاهی مرگ انسان را به شکل عجیبی غافلگیر می‌کند و گاهی مثل یک دوست او را همراهی می‌کند تا در نهایت او را به مقصد اصلی‌اش برساند؛ اما لئون تولستوی در داستان مرگ ایوان ایلیچ روایت متفاوتی از مواجه با مرگ دارد. داستانی اگرچه کوتاه ولی به شدت عمیق و تاثیرگذار.,داستان و رمان روسیه,https://newcdn.fidibo.com/images/books/84501_22375_normal.jpg
9, هری پاتر و حفره اسرار آمیز,جی.کی رولینگ,ویدا اسلامیه,آرمان سلطان‌زاده,"۵۰,۰۰۰ ",آوانامه,۱۳۹۹/۰۵/۲۰, فارسی," 666.4 مگابایت
                        ",None,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/101031_53035_normal.jpg
