,name,authors,translator,broadcaster,price,publisher,date,language,vol,description,category,cover_loc
0, غرب غم‌زده,مارتین مک‌دونا,بهرنگ رجبی,سیاوش اکبریان  ،                                                                                                             فرناز حداد  ،                                                                                                             مهران نوروزی,"۳۰,۰۰۰ ",توسعه محتوای لحن دیگر,۱۴۰۰/۱۲/۱۴, فارسی," 107.57 
                        ","
                                    میان سه نمایشنامه‌ای که به «سه‌گانه‌ی لینِین» معروف شدند، غربِ غم‌زده نمایش زیاده‌روی است، قصۀ دو برادر که در خانه‌ای مشترک زندگی می‌کنند و نه فقط از کودکی تا بزرگسالی کم به همدیگر بدی نکرده‌اند بلکه همین الان هم جفت‌شان حاضرند هر کاری بکنند تا آن یکی را به زانو دربیاوند. نمایشنامه‌های مک‌دونا پُر آدم‌های قسی‌القلبَ‌اند اما شاید هیچکدامشان مهابتِ غربِ غم‌زده را ندارند، چون اینجا معلوم نیست آدم‌ها چرا این‌طور بی‌محابا خشونت می‌کنند و بیرحم‌اند ــ و حتا از این هم ترسناک‌تر: برای خود این آدم‌ها که اصلاً مهم نیست چرا.
مارتین مکدونا متولد ۱۹۷۰ است در لندن؛ نوجوانِ چهارده‌ساله‌ای بود که با دیدنِ نمایشی از دیوید ممِت، «بوفالوی امریکایی»، تصمیم گرفت نویسنده بشود. درس را رها کرد و طی هشت سالِ بعدش صد و خُرده‌ای قصه و طرحِ فیلمنامه نوشت و برای هر جا به ذهنش می‌رسید، فرستاد؛ همه‌شان رد شدند. در بیست و چهارسالگی هنوز داشت با مقرری هفته‌ای پنجاه دلارِ دولت سَر می‌کرد که تصمیم گرفت نمایشنامه بنویسد. دوره‌ای هر روز صبح پا شد و تا بعد از ظهر کار کرد، بعد هم تا آخرِ شب می‌نشست پای تلویزیون به دیدنِ سریال‌های شبکه‌های مختلف تا برای گره‌افکنی و به جانِ هم انداختنِ شخصیت‌ها، ایده بگیرد. نتیجه این که ظرفِ نُه ماه، هفت نمایشنامه نوشت؛ از یکیشان راضی نبود اما شش‌تای باقی در همین مدتِ کوتاه بدل به کلاسیک‌های تئاتر انگلستان شده‌اند و دست‌کم اولی‌شان، «ملکه‌ی زیبایی لینِین» از بهترین نمایشنامه‌های همه‌ی اعصار خوانده شده. بعدِ آن فقط دو نمایشنامه‌ی دیگر نوشته و یک فیلمِ کوتاه و دو فیلمِ بلند ساخته. یکبار سرِ مصاحبه‌ای در پاسخ به این پرسش که چرا این سال‌ها کم کار شده جواب داد چند تا فیلمنامه‌ی آماده برای فیلمبرداری دارد اما دلش نمی‌خواهد بسازدشان، چون هنوز پیر نشده و الان وقتِ سفر کردن و خوش گذراندنش است، بعدترها هم می‌شود نمایشنامه نوشت و فیلم ساخت.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/128951_85794_normal.jpg
1, نمایش‌نامه عشق‌لرزه,اریک امانوئل اشمیت,شهلا حائری,گروه گویندگان  ،                                                                                                             میلاد فتوحی,"۲۸,۰۰۰ ",نوین کتاب,۱۳۹۸/۰۳/۱۳, فارسی," 122.2 
                        ","
                                    کتاب صوتی «عشق‌لرزه» نوشته‌ی اریک امانوئل اشمیت است که با ترجمه‌ی شهلا حائری و خوانش جمعی از گویندگان منتشر شده. 
دیان عاشق ریچارد است، اما زمانی که با کمی بی‌توجهی از سوی او مواجه می‌شود، به جای در میان گذاشتن خالصانه احساسش، با غرور با او برخورد می‌کند و همین که نمی‌تواند بخش‌ درستی از احساساتش را در رفتار خصوصی‌اش به کار بگیرد، باعث حرکت و جابجایی نادرست لایه‌های درونی احساسش می‌شود و زلزله‌ای را به وجود می‌آورد که ناشی از عشق است؛ عشقی بزرگ که در اثر خویشتن‌داری و بروز ندادن و غرور از هم پاشیده و منجر به تنفر می‌شود.
اریک امانوئل اشمیت در این نمایشنامه بار دیگر به تحلیل احساسات و روابط انسان‌ها می‌پردازد و با قلم شیرینش ما را به تفکر و تحسین وامی‌دارد. 
اینکه چگونه در یک چشم به‌هم زدن احساسات دگرگون می‌شود، نفرت جای عشق را می‌گیرد و بنای آرزوها درهم می‌ریزد و هنگامی‌که احساس شخصی دگرگون می‌شود، زندگی سایر شخصیت‌ها نیز دچار زلزله و آتشفشان می‌شود.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/90754_57839_normal.jpg
2,دانلود پادکست دیج ایمیج  قسمت شانزدهم  دیج ایمیج  ,دیج ایمیج,None,امیر یاری,None,دیج ایمیج,۱۳۹۷/۰۷/۰۲, فارسی," 20.61 
                        ","
                                    جنگ همیشه زشت است، همیشه زشت بوده و همواره زشت خواهد ماند. هرکسی چیزی غیر از این می‌گوید، یا هرگز نجنگیده یا اطمینان دارد که هرگز خودش در میدان جنگ نخواهد بود. آنچه که ما از جنگ می‌بینیم، دیده‌ها و شنیده‌های دیگرانی است که خود در جنگ بوده‌اند. اما این کسر کوچکی از چیزی که در آنجا اتفاق می‌افتد. سال‌ها پیش، وقتی هنوز فاشیسم به عنوان یک قدرت جهانی در سرتاسر دنیا تأثیرگذار بود، یک عکاس جنگی به نام رابرت کاپا با هنر خود توانست به همه دنیا نشان دهد که معنای واقعی جنگ چیست؟ زمانی که رهبران فاشیست دنیا بر طبل جنگ می‌کوبیدند، عکس‌های رابرت کاپا باعث شد تا جنبش‌های صلح‌طلبی در سرتاسر دنیا شکل بگیرند و نهایتاً زمانی همین عکس‌ها به عنوان اسناد جنایات جنگی در دادگاه‌های فاشیست‌ها ارائه شد.
رابرت کاپا در سال ۱۹۱۳ در مجارستان به دنیا آمد. اما بعدها به برلین سفر کرد و آنجا عکاسی را یاد گرفت. کاپا یهودی بود و برای همین هم با قدرت گرفتن فاشیست‌ها در سرزمین مادری‌اش از آنجا فرار کرد و به فرانسه رفت. در جنگ جهانی دوم، رابرت کاپا در آمریکا و مجله Life مشغول به کار شد و بارها در کنار نیروهای نظامی آمریکایی به صحنه‌های نبرد رفت. یکی از تکان‌دهنده‌ترین روز‌های جنگی که رابرت کاپا از آن عکاسی کرد، روی D-Day معروف به طولانی‌ترین روز بود. این روز که در فیلم “نجات سرباز رایان” هم به تصویر کشیده شده، روز بزرگ‌ترین حمله نیروهای آمریکایی به آلمان‌ها در ساحل نورماندی فرانسه اشغال شده بود که از آن تنها ۱۱ عکس باقی مانده است. ۱۱ عکس از جهنم، ماجرای کاپا و ۱۱ عکسی است که توانست از آنجا به یادگار باقی بماند تا نسل‌های آینده بدانند چهره واقعی جنگ چیست. رابرت کاپا عکاسی بود که عشقش را در یک جنگ از دست داد و خود نیز در یک جنگ کشته شد.                                                                    ",دیج ایمیج,https://newcdn.fidibo.com/images/books/83816_32678_normal.jpg
3,دانلود پادکست دیج ایمیج  قسمت پنجم  دیج ایمیج  ,دیج ایمیج,None,امیر یاری,None,دیج ایمیج,۱۳۹۷/۰۲/۰۲, فارسی," 18.29 
                        ","
                                    جنجال کپی رایت ناروتو، میمون سلفی بگیر هنوز به پایان نرسیده است و هنوز مشخص نیست که رای دادگاه، عکاس این عکس یعنی اسلیتر را محکوم می‌کند یا خیر. این عکاس، در سال ۲۰۱۱، عکسی را از میمونی ثبت کرده است که تبدیل به یکی از جنجالی‌ترین دادگاه‌های کپی رایت در جهان شد. اگر درباره میمون سلفی بگیر و داستان دادگاه‌های حق نشر این عکس کنجکاو هستید، این پادکست فارسی را گوش دهید.
امیر یاری در این پادکست فارسی، درباره عکس ناروتو، میمون سلفی بگیر و دادگاه‌های حق کپی رایت این عکس توضیح می‌دهد.                                                                    ",دیج ایمیج,https://newcdn.fidibo.com/images/books/83089_79026_normal.jpg
4,پادکست نوروز با آفتابگردان‌ها - قسمت چهارم,گروه نویسندگان,None,گروه گویندگان,None,رادیو گوشه,۱۴۰۰/۱۲/۲۶, فارسی," 12.91 
                        ","
                                    (پادکست نوروزی رادیو گوشه)                                                                    ",نقاشی,https://newcdn.fidibo.com/images/books/129652_51985_normal.jpg
5,پادکست نیمه شب,نیمه شب,None,مهدی خدادادی,None,نیمه شب,۱۳۹۷/۰۵/۰۸, فارسی," 40.82 
                        ","
                                    در قسمت چهارم «نیمه شب» درباره سینمای محمد حسین مهدویان و مسیر هنریش صحبت کردیم و گذری بر تمام آثار شناخته شده‌اش داریم.

 از تولد داکیودرام با آخرین روز های زمستان تا شناخته شدن مهدویان با ایستاده در غبار، اختلاف نظر ها درباره ماجرای نیمروز و تغییر این کارگردان جوان با لاتاری موضوعاتی هستند که در این اپیزود به اون ها اشاره شده.

اگر آثار مهدویان رو می‌پسندید این اپیزود رو گوش کنید و اگر اون ها رو دوست ندارید حتما گوش کنید و نظرات خودتون رو با ما در میون بذارید. 

موسیقی‌های استفاده شده از آثار مهدویان به صورت رایگان در اینترنت منتشر شده اند.                                                                    ",نیمه شب,https://newcdn.fidibo.com/images/books/83064_94476_normal.jpg
6, دلی‌بای و آهو,عباس معروفی‌,None,شکیلا نصری‌نژاد  ،                                                                                                             مونا ابوشهاب  ،                                                                                                             میلاد فتوحی,"۱۸,۰۰۰ ",نوین کتاب,۱۳۹۸/۰۶/۰۴, فارسی," 75.66 
                        ","
                                    «دلی بای و آهو» نمایشنامه‌ای در سه پرده و نوشته عباس معروفی است. «دلی بای و آهو» را می‌توان درامی‌ در سوگ عشق دانست. قصه تلخ عشقی بی‌فرجام:

میهمانان‌ عروسی «دلی بای» و «آهو» را جشن گرفته‌ اند. دستی ناپیدا دلی بای را از سر سفره‌ی‌ عقد به خود می‌خواند. «آهو» نگران است. «بایاندو» آرام ندارد. «آی‌تک‌» و «آی لر» شاد و سرمستند. «مایسا» در هراس ماری زخمی‌ به نام «قاراچوگا» است. این مار نیز دل در گرو «آهو» دارد. قرار بود «مایسا» عروس خانه‌ «بایاندو» شود. این را «گودانا» قبل از مرگش‌ خواسته بود. اما «دلی بای» دل به عشق‌ «آهو» باخت. زیباترین دختر ایل. قطعاً «قاراچوگا» آرام نخواهد گرفت... 

این نمایشنامه با خوانش جمعی از گویندگان منتشر شده است.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/92960_91648_normal.jpg
7, آناتومی ساختار درام,نصرالله قادری,None,مریم محبوب,"۳۴,۰۰۰ ", کتاب نیستان,۱۳۹۸/۰۶/۲۶, فارسی," 527.47 
                        ","
                                    «آناتومی ساختار درام» نوشته نصرالله قادری نویسنده سمنانی الاصل است، قادری به جز نویسندگی به تدریس در دانشگاه و همچنین کارگردانی سینما نیز مشغول است. همان‌طور که از نام این کتاب برمی‌آید در آن به ویژگی‌های ساختاری درام پرداخته شده و اجزای دارم‌نویسی به همراه نظریات مربوط در شش فصل با عناوین مختلف مورد بررسی قرار گرفته‌اند. نویسنده در تدوین این کتاب کوشیده است به دو پرسش اساسی در حوزه درام یا نمایش پاسخ دهد:
۱ـ نمایش‌نامه چیست؟
۲ـ صنعت نمایش چه معنا و مفهومی دارد؟
وی به همین منظور به شرح و بررسی چهار عنصر مشخص درام می‌پردازد که عبارت‌اند از «طرح»، «کاراکتر»، «انگاره» و «دیالوگ». از این رو می‌توان گفت این کتاب راه‌گشای خوبی برای دانشجویان و علاقه‌مندان به رشته تاتر و نمایش‌نامه‌نویسی است.
این کتاب شامل پنج فصل و یک فصل ضمائم است و  نویسنده در پایان هر فصل ، ماخذ را به صورت پاورقی  آورده است. قادری در مقدمه، نمایشنامه را یک اثر ادبی ـ هنری ذکر کرده که حیات واقعی آن در نمایش تجلی پیدا می‌کند  و گفته وی  بعضی در تعریف نمایشنامه تا به آنجا پیش رفته‌اند که معتقدند سطور نمایشنامه تنها راهنمایی است که یک کارگردان یا بازیگر خوب بدان نیازمند است. او با توضیح این مطلب به دنبال پاسخی برای تعریف چیستی نمایش‌نامه و معنای نمایش می‌رود و در این خصوص به ارائه نظریات مختلف از جمله ارسطو ، فیثاغورث ، سوفسطایان و… می‌پردازد.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/93494_32270_normal.jpg
8, نمایش‌نامه خرده نان,لویی کالافرت,شهلا حائری,شاهین علائی‌نژاد  ،                                                                                                             کیانا اطهری‌ نژاد  ،                                                                                                             گلچهره زند,"۲۸,۰۰۰ ",نوین کتاب,۱۳۹۸/۰۳/۱۷, فارسی," 46.48 
                        ","
                                    کتاب صوتی «خرده نان» نوشته لویی کالافرت و با ترجمه شهلا حائری منتشر شده و خوانش آن به‌عهده شاهین علایی‌نژاد و گلچهره زند بوده است. 
کتاب درباره زن و شوهری‌ست که، مانند هر شب، زندگی آرامی را می گذرانند تا اين كه در همسايگی شان اتفاقات عجيبی رخ می دهد كه آن‌هاا را وا می‌دارد در مورد خود و زندگی از نو بينديشند. لويی كالافرت با زبانی ساده از زندانی كه انسان‌ها برای خود ساخته‌اند و از آرزوهای بر باد رفته شان سخن می‌گويد. بی‌تفاوتی انسان‌ها نسبت به آن چه در خارج از زندگی و عادات روزمره شان رخ می‌دهد خواننده را به خود می‌آورد و منقلب می‌كند.
اين نمايش‌نامه برنده‌ جايزه‌ ايبسن در سال ۱۹۷۸ شد و نويسنده‌اش لويی كالافرت (۱۹۲۸-۱۹۹۴) در سال ۱۹۸۵ به خاطر مجموعه آثارش جايزه بزرگ شهر پاريس و در سال ۱۹۹۲ جايزه بزرگ ملی ادبيات فرانسه را از آن خود كرد.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/90802_41200_normal.jpg
9,پ,دیج ایمیج,None,امیر یاری,None,دیج ایمیج,۱۳۹۷/۰۱/۱۴, فارسی," 5.6 
                        ","
                                    کانن یک ویدئوی ۳ دقیقه‌ای منتشر کرده که در آن قدرت حسگر ۱۲۰ مگاپیکسلی CMOS خودش را به تصویر کشیده است. این حسگر که برای نخستین بار، تابستان ۲ سال پیش معرفی شده بود، در ماه می ۲۰۱۶ در معرض دید عموم قرار گرفت. کانن نام این حسگر را ۱۲۰MXS گذاشته است و رزولوشن دقیق آن برابر ۱۳۲۸۰×۹۱۸۴ پیکسل است. این رزولوشن تقریباً ۶۰ برابر یک حسگر Full HD معمولی است. نکته مهم درباره این حسگر این است که اندازه آن APS-H می‌باشد. یعنی کمی بزرگ‌تر از حسگر‌های APS-C (مانند حسگر Canon ۸۰D) و کمی کوچک‌تر از حسگر‌های Full Frame (مانند Canon ۵D Mark IV). اما کانن چطور توانسته است این تعداد پیکسل را در اندازه‌ای به این کوچکی جای دهد؟                                                                    ",کانال‌های پادکست,https://newcdn.fidibo.com/images/books/83073_89335_normal.jpg
