,name,authors,translator,price,publisher,price_printed,date,language,vol,pages,isbn,description,category,cover_loc
0,ملت عشق,الیف شافاک,ارسلان فصيحی,"۴۸,۰۰۰ ", ی ققنوس," ۹۵,۰۰۰ ",۱۳۹۴/۰۱/۱۵, فارسی," 2.64 
                        "," ۵۱۰ 
                            ",978-964-311-919-5,"
چهل قاعده عشق که به نام ملت عشق نیز شناخته می‌شود، توسط نویسنده فرانسوی متولد ترکیه «الیف شافاک» نوشته شده است. این رمان که پرفروش‌ترین کتاب تاریخ ترکیه به حساب می‌آید، اثری برگرفته از ارتباط عرفانی بین شمس تبریزی و مولانا است که به صورت دو داستان موازی و در هم تنیده روایت می‌شود. بطن اصلی کتاب حول موضوع عشق و نقش آن در دنیای مدرن امروز نسبت به گذشته می‌نگرد و چنان آن را از غرب به شرق گسترش می‌دهد که به زندگی رنگ و بویی عرفانی و زاییده شده از عشق می‌دهد. اینکه چگونه قطعه سنگی کوچک، برکه‌ای راکد و خاموش را به تلاطم و جنبش وا می‌دارد.",داستان و رمان ترکیه,https://newcdn.fidibo.com/images/books/4339_22364_normal.jpg
1,مردی به نام اوه,فردریک بکمن,الناز فرحناکیان,"۲۵,۰۰۰ ", نون," ۹۵,۰۰۰ ",۱۳۹۴/۱۰/۱۵, فارسی," 2.25 
                        "," ۳۹۲ 
                            ",978-600-7141-77-9,رمان مردی به نام اوه عنوان اولین کتاب فردریک بک من است که به سی زبان دنیا ترجمه شده و به عنوان پرفروش‌ترین کتاب سال سوئد معروف شده است و در ایران نیز با ترجمه الناز فرحناکیان توسط نشر نون به چاپ رسیده است. در ادامه با ما همراه باشید تا با معرفی این کتاب جذاب که از پرفروش‌ترین‌های سایت آمازون در سال 2016 نیز به حساب می آید شما را با دنیای نویسندگی فردریک بک من آشنا کنیم.,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/64664_53966_normal.jpg
2,هری پاتر و فرزند نفرین شده,"جان تیفانی  ،                                                                                             
جک ترون  ،                                                                                             
جی.کی رولینگ",امید کرات  ،                                                                                                             حسین غریبی  ،                                                                                                             شیرین اسماعیلی,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),None,۱۳۹۵/۰۵/۲۷, فارسی," 1.44 
                        "," ۳۹۰ 
                            ",None,"
                                     جناب آقای حجت گلابی هم از مترجمان کتاب هستند که به دلیل محدودیت در درج تعداد مترجم نام آنها در بالا ذکر نشده است
ایستگاه شلوغ و مملو از جمعیت است. آدم‌های بسیاری در ایستگاه هستند که هر کدام می‌خواهند برای خود جایی بروند. در بین این فشار و شلوغی، دو قفس بزرگ بر روی دو چرخ‌دستی سنگین، تلق و تلوق می‌کنند. این چرخ‌دستی‌ها توسط دو پسر به نام‌های جیمز پاتر و آلبوس پاتر کشیده می‌شوند که مادر آنها، جینی، هم به دنبالشان در حال حرکت است. مردی سی و هفت ساله به نام هری، دختر خود، لی‌لی را بر روی شانه‌هایش حمل می‌کند.
آلبوس:
بابا، همش داره این حرف رو می‌زنه.
هری:
جیمز، بس می‌کنی؟
جیمز:
فقط گفتم شاید بیفته اسلیترین. و شاید... (پدرش به او چشم غره می‌رود) باشه.
آلبوس:
(به مادرش نگاه می‌کند) برام نامه می‌نویسین دیگه، نه؟
جینی:
اگر بخوای هر روز برات نامه می‌فرستیم.
آلبوس:
نه. هر روز نمی‌خواد. جیمز میگه بیشتر بچه‌ها فقط ماهی یه بار از خونه بهشون نامه می‌فرستن. نمی‌خوام که...
هری:
سال پیش برای برادرت هفته‌ای سه تا نامه می‌فرستادیم.
آلبوس:
چی؟ جیمز!
                                                                    ",کتاب‌های رایگان ,https://newcdn.fidibo.com/images/books/7345_72625_normal.jpg
3,جزء از کل,استیو تولتز,پیمان خاکسار,"۵۸,۰۰۰ ", چشمه," ۱۶۰,۰۰۰ ",۱۳۹۴/۱۰/۱۵, فارسی," 4.46 
                        "," ۶۵۶ 
                            ",978-600-229-500-2,روزی نویسندگان و مورخان در آینده به این دوره از تاریخ نگاه می‌کنند و از رمانی صحبت می‌کنند که همه حتی خردسالان و سالمندان را منقلب کرده است. این رمان بی‌شک «جز از کل» نوشته‌ی «استیو تولز» رمان‌نویس استرالیایی خواهد بود که از اعماق وجود انسان‌ها سخن می‌گوید. «جز از کل» درامی خانوادگی است که ترس، انتظار و زندگی را به شکل متفاوتی معنا می‌کند و به تصویر می‌کشد و هر پاراگراف آن، خود داستانی تأمل‌برانگیز است.,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/97567_24554_normal.jpg
4,سمفونی مردگان,"
 
                                                                                            
عباس معروفی‌ ",None,"۳۹,۰۰۰ ", ی ققنوس," ۶۸,۰۰۰ ",۱۳۸۹/۱۰/۱۵, فارسی," 2.06 
                        "," ۳۵۰ 
                            ",978-964-311-344-5,عباس معروفی مانند اسمش نویسنده ای معروفی است که آثار ارزشمندش همیشه در ویترین مغاره ها به مخاطبان چشمک می زند. عباس معروفی نویسندهای است برای نسل آینده با آثاری از دل دهه شصت!,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/1631_63289_normal.jpg
5,وقتی نیچه گریست,اروین یالوم,سپيده حبيب,"۳۵,۰۰۰ ", قطره," ۶۵,۰۰۰ ",۱۳۹۹/۱۰/۰۱, فارسی," 3.13 
                        "," ۵۱۲ 
                            ",978-600-119-202-9,None,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/62882_79534_normal.jpg
6,مغازه خودکشی,ژان تولی,احسان کرم‌ویسی,"۲۱,۰۰۰ ", چشمه," ۳۸,۰۰۰ ",۱۳۹۶/۱۰/۱۵, فارسی," 0.76 
                        "," ۱۱۴ 
                            ",978-600-229-881-2,بعضی رمان‌ها خلاف جریان آب شنا می‌کنند و این داستان را بسیار خواندنی‌تر و جذاب‌تر می‌کند. کمدی سیاه یک ژانر معروف در ادبیات است که با بیان واقعیات جامعه به زبان طنز سعی دارد هم از اتفاقات جامعه بگوید و هم با روایت کمدی لبخند بر روی لب خواننده بیاورد. یکی از معروف‌ترین کتاب‌های کمدی سیاه مغازه‌ی خودکشی به قلم ژان تولی است. شما با خواندن این کتاب به شهری در آینده‌ی دور می‌روید. جایی بی‌نام و نشان که ممکن است با آن احساس نزدیکی کنید. در سال ۲۰۱۲ نیز از این کتاب یک انیمیشن فرانسوی ساخته شد.,داستان و رمان فرانسه,https://newcdn.fidibo.com/images/books/85720_97025_normal.jpg
7,من پیش از تو,جوجو مویز,مریم مفتاحی,"۶۰,۰۰۰ ", آموت," ۷۱,۰۰۰ ",۱۳۹۵/۱۰/۱۵, فارسی," 2.49 
                        "," ۵۳۶ 
                            ",978-600-6605-42-5,رمان عاشقانه من پیش از تو نوشته جوجو مویز را با ترجمه مریم مفتاحی به صورت الکترونیکی خریدم. بر این قصد بودم که بتوانم هر شب قبل از خواب بخشی از آن را بخوانم. شروع کردم، در گوشه‌ای از اتاق در سکوتی جاودانه داستان عاشقانه بین لوئیزا کلارک و ویل ترینر را از طریق تبلت می‌خواندم. آنقدر با کتاب اُنس یافته بودم که احساس می‌کردم از زندگی‌ام الهام گرفته شده است. هر شبم آکنده از غم، شادی، اشک و خنده بود، بی‌آنکه بدانم در کجایم، در داستان غرق شده بودم. هر لحظه بخش از رمان انگار تداعی بخش خاطره‌ای دور و تجربه‌ای نزدیک بود. مواقعی بعد از خواندن رمان من پیش از تو، افسردگی وجودم را می‌گرفت و زمانی از حس عاشقانه لبریزم می‌کرد. وقتی آخرین صفحات کتاب را خواندم و پایان داستان را فهمیدم، پیش از پیش به زندگی‌ام بالیدم؛ به ناگهان از جایم برخاستم و شتابان به اتاق همسرم رفتم و او را که بر روی ویلچرش نشسته بود، بوسه باران کردم. سپس همسرم رو به من کرد و گفت: «من فقط می‌خواهم مردی باشم که دختری با لباس قرمز در کنارم و در کنسرت موسیقی زنده نشسته‌ است؛ فقط برای چند دقیقه بیشتر.»,داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/65672_11136_normal.jpg
8,دور دنیا در هشتاد روز,"
 
                                                                                            
ژول ورن ",None,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),None,۱۳۹۴/۰۵/۲۸, فارسی," 0.74 
                        ","  
                            ",None,"
                                     در سال ۱۸۷۲، در شھر لندن آقای فیلیس فاگ یکی از اعضای (کلوپ ریفورم) در خیابان (ساویل رو)، زندگی می‌کرد.
کسی به درستی او را نمی‌شناخت، چرا که او ھرگز در مورد خویش چیزی نمی‌گفت. ولی قدر مسلم او یک انگلیسی بود، یک انگلیسی اصیل و خوش سیما. او ھرگز در بانک و فروشگاھھای شھر دیده نشده بود. در دنیای دریانوردان و ملاحان بیگانه بود. تاجر و بازرگان نبود. کشاورز نبود، دانشمند نبود. نویسنده نبود، و گویا شغل و پیشه ای نداشت. تنھا چیزی که مردم شھر از او می‌دانستند این بود که او یکی از اعضای کلوپ ریفرورم است.
آیا فیلیس فاگ ثروتمند بود؟ بله، مسلما "". اما کسی نمی‌دانست که او این ثروت را از کجا به دست آورده است و او ھم آدمی‌نبود که دراین باره حرفی بزند، آقای فاگ مقتصد و صرفه جو بود، ولی به نظر نمی‌آمد که خسیس و پول پرست باشد او خیلی کم حرف می‌زد و از آنجا که دقیق و مقرراتی بود و ھر روز دقیقا ھر کاری را به وقت خود انجام می‌داد، کنجکاوی مردم نسبت به شناخت او و گذشته او بیشتر و بیشتر می‌شد.                                                                    ",کتاب‌های رایگان ,https://newcdn.fidibo.com/images/books/4317_63872_normal.jpg
9,دنیای سوفی,یوستین گردر,حسن کامشاد,"۷۲,۰۰۰ ", نیلوفر," ۱۲۰,۰۰۰ ",۱۳۹۵/۰۶/۱۵, فارسی," 5.15 
                        "," ۶۰۰ 
                            ",978-964-448-041-6,دنیای سوفی عنوان کتاب جذابی است که مخاطب را شگفت زده می کند! بیشتر افرادی که به مطالعه در مورد فلسفه علاقمند هستند این کتاب را در لیست کتابهای مورد علاقه خود قرار دادهاند، اما جالب است بدانید دنیای سوفی کتابی است که برای افرادی که علاقه زیادی به فلسفه ندارند و تنها دوست دارند آشنایی جزئی با فلسفه داشته باشند هم جذاب است. با ما همراه باشید تا در مورد این رمان پر رمز و راز بیشتر صحبت کنیم.,فلسفه,https://newcdn.fidibo.com/images/books/63281_53977_normal.jpg
