,name,authors,translator,price,publisher,price_printed,date,language,vol,pages,isbn,description,category,cover_loc
0,تختت را مرتب کن,ویلیام اچ.مک‌ریون,صدف حکیمی زاده,"۸,۰۰۰ ", آموخته," ۱۲,۰۰۰ ",۱۳۹۷/۰۱/۱۵, فارسی," 0.66 
                        "," ۸۸ 
                            ",978-600-8237-63-1,ویلیام هری مک‌ریون (متولد 6 نوامبر 1955)، از دانشگاه تگزاس در آستین به عنوان افسر نیروی دریایی فارغ‌التحصیل شد. او به‌عنوان دریاسالار چهارستاره در نیروی دریایی ارتش ایالات متحده 37 سال خدمت کرد و بعد از شرکت در عملیات های ویژه و افتخارآفرینی‌ها در 28 آگوست سال 2014 بازنشسته شد. کتاب تختت را مرتب کن تجربه‌های واقعی و سختی‌های او در این مسیر چهل ساله است. از سال 2015 تا به امروز ویلیام مک‌ریون ریاست دانشگاه تگزاس را بر عهده دارد. نام مکریون در سال 2012، در فهرست برگزیده‌ترین دانش آموختگان دانشگاه تگزاس قرار گرفت.,سبک زندگی,https://newcdn.fidibo.com/images/books/79813_36988_normal.jpg
1,مثل یک مرد فکر کن,استیو هاروی,مهراوه فیروز,"۱۲,۰۰۰ ", البرز," ۳۵,۰۰۰ ",۱۳۸۸/۰۷/۱۵, فارسی," 0.83 
                        "," ۱۶۱ 
                            ",978-964-442-661-2,هیچ‌چیز در این سیاره نمی‌تواند با عشق یک زن مقایسه شود. مهربانی و دلسوزی، صبوری و سخاوت بی‌قیدوشرط مشخصه‌های بارز زنی است که می‌خواهد رابطه‌ی خود را شروع و آن را با عشق و علاقه حفظ کند؛ اما گاهی زنان علت بعضی رفتارهای مردان را نمی‌دانند و آن‌ها را نوعی بی‌احترامی تلقی می‌کنند. استیو هاروی کمدین معروف آمریکایی در کتاب مثل یک مرد فکر کن مثل یک زن رفتار کن  با زبان شیرین و طنز خاص خود از حقایق و تجربیات شخصی‌اش استفاده کرده تا به زنان کمک کند که بدانند آقایان هنگام رابطه، صمیمیت و عشق چطور فکر می‌کنند. این کتاب تا مدت‌ها در فهرست پرفروش‌های نیویورک‌تامیز قرار داشت و به زنان زیادی در سراسر جهان کمک کرده است تا مشکلات رابطه‌شان را حل کنند.,سبک زندگی,https://newcdn.fidibo.com/images/books/4292_39439_normal.jpg
2,فوت و فن های عشق ورزیدن,توماس دبلیو.مک نایت,هدیه تقوی,"۷,۰۰۰ ", البرز," ۴۰,۰۰۰ ",۱۳۹۰/۰۴/۱۵, فارسی," 1.13 
                        "," ۲۰۸ 
                            ",978-964-442-781-7,«موفقیت در روابط نیز شبیه موفقیت در بقیه چیزهاست. دانش کافی، توان شما را افزایش می‌دهد. هر چه بیشتر از پیچ‌وخم‌های روابط اطلاع داشته باشید، بهتر از پس اداره کردن آن‌ها برمی‌آیید. به خاطر داشته باشید که برای موفقیت یا عدم موفقیت یک رابطه، همیشه علتی وجود دارد. اگر متوجه نباشید که چه مسائلی باعث به هم خوردن روابط قبلی شما شده است، آن مسائل مجددا برایتان تکرار خواهند شد.» این‌ها جملاتی از کتاب فوت و فن‌های عشق ورزیدن است. همان‌طور که از نام آن مشخص است این کتاب فوت‌وفن‌هایی را برای عشق ورزیدن به افراد ارائه می‌کند تا در روابط خود درک درستی از مشکلات و مسائل غیرقابل پیش‌بینی داشته باشند.,خانواده,https://newcdn.fidibo.com/images/books/6133_38877_normal.jpg
3,صبح جادویی,هال الرود,لطیف احمدپور,"۱۵,۰۰۰ ",نوآوران سینا," ۳۰,۰۰۰ ",۱۳۹۶/۰۱/۱۵, فارسی," 2 
                        "," ۲۱۶ 
                            ",978-600-8534-02-0,تجربه‌ی نزدیک به مرگ، اتفاقی است که هر فرد به شکل متفاوتی با آن مواجه می‌شود. اما نقطه اشتراک این افراد تحولی است که در ذهن، روان و روند زندگی‌شان ایجاد می‌شود. گاهی این تحول به تغییرات فردی محدود می‌شود و گاه در حدی ‌است که توجه جهانی را به خود جلب می‌کند. هال الرود یکی از کسانی‌ست که این تجربه به نقطه عطف زندگی‌اش تبدیل شد و فعالیت‌های او در زمینه‌ی موفقیت را با افراد دیگر متمایز کرد. کتاب صبح جادویی اهمیت سحرخیزی و راه‌کارهایی برای شروع روز با تمام قدرت ذهنی و جسمی را برای مخاطب شرح می‌دهد. ,سبک زندگی,https://newcdn.fidibo.com/images/books/79101_10945_normal.jpg
4,دگرگونی زندگی با جادوی نظم,ماری کندو,مهدی قراچه داغی,"۱۲,۰۰۰ ", البرز," ۲۹,۰۰۰ ",۱۳۹۴/۱۰/۱۵, فارسی," 0.71 
                        "," ۱۶۰ 
                            ",978-964-442-938-5,بعضی از افراد هستند که در چیدن و جمع و جور کردن خانه وسواس زیادی به خرج می‌دهند اما هیچ‌وقت خانه را آن‌طور که انتظار دارند مرتب نمی‌بینند. شاید اگر بخواهیم به بعضی از افراد بگوییم که امروزه آموزش‌های نظم و مرتب کردن خانه هم وجود دارد کمی متعجب شوند و بپرسند آیا منظم بودن هم نیاز به آموزش دارد؟ ماری کندو در کتاب دگرگونی زندگی با جادوی نظم درباره الزام آموزش نظم می‌گوید: «در ژاپن پندار مردم بر این است که نظم به آموزش نیازی ندارد، بلکه مردم به‌خودی‌خود، نظم و ترتیب در خونشان است و چگونگی آن را می‌دانند. مهارت‌های آشپزی در خانواده ما از نسلی به نسلی دیگر واگذار می‌شود. مادران شیوه آشپزی را به دخترانشان می‌آموزند، اما به نظر می‌رسد که نظم را کسی به دیگری آموزش نمی‌دهد». کندو در این کتاب به افرادی که عادت دارند هیچ وسیله‌ای را دور نمی‌اندازند و انباری خانه‌هایشان همیشه پر است راهکارهای مؤثری ارائه می‌کند.,سبک زندگی,https://newcdn.fidibo.com/images/books/7240_83543_normal.jpg
5,چراغ دل شوهرت را روشن کن,الن کریدمن,شیرین نوروی  ،                                                                                                             عباس چینی,"۱۰,۵۰۰ ", البرز," ۲۱,۰۰۰ ",۱۳۹۳/۱۰/۱۵, فارسی," 1.37 
                        "," ۲۷۰ 
                            ",964-442-259-7,تعداد زیادی از داستان‌‌هایی که این روزها درباره‌ی ازدواج و زندگی مشترک می‌شنویم، تلخ هستند. اگر از یک زوج بپرسید که تفاوت ارتباط‌شان قبل و بعد از ازدواج چه بوده است؟ احتمالا این جواب را از تعداد نه چندان کمی خواهید شنید که شور و هیجانی را که درابتدای رابطه‌شان حس می‌کرده‌اند، پس از مدتی کمرنگ شده و شاید حتی از بین رفته است. آیا شما هم جز این گروه هستید؟ آیا ارتباط شما با همسر‌تان به بن‌بست رسیده است؟ آیا شما هم حس می‌کنید راز دلبسته ماندن به همسرتان را نمی‌دانید؟,خانواده,https://newcdn.fidibo.com/images/books/5767_64222_normal.jpg
6,آسان‌ترین روش ترک سیگار,آلن کار,نوذر نیازی,"۳۹,۰۰۰ ", روزگار," ۷۸,۰۰۰ ",۱۳۸۸/۱۰/۱۵, فارسی," 1.3 
                        "," ۲۸۷ 
                            ",978-964-374-156-3,"
                                    ”با تمام وجود از شیوه ی آقای آلن کار در کمک به ترک سیگار حمایت می کنم. بسیاری از کلینیک های ترک سیگار بعضی از فنون وی را به کار می گیرند، اما تعداد بسیار کمی توانسته اند مانند آقای آلن کار به طور جامع و موفقیت آمیز از این فنون استفاده کنند.“
پروفسور جودیس مَکی- رئیس شورای کنترل دخانیات در آسیا                                                                     ",سلامت و رژیم درمانی,https://newcdn.fidibo.com/images/books/3415_97206_normal.jpg
7,زندگیتان را در هفت روز تغییر دهید,پل مک‌کنا,مهدی قراچه‌داغی,"۱۶,۰۰۰ ", قطره,None,۱۳۸۴/۱۰/۱۵, فارسی," 1.27 
                        "," ۲۱۲ 
                            ",964-341-436-1,"
                                     «اندیشه خوب یا بد وقتی پر دوام شد تأثیر خود را بر جای می‌گذارد. انسان نمی‌تواند مستقیما شرایط خود را انتخاب کند، اما می‌تواند اندیشه‌های خود را انتخاب کند. این‌گونه به‌طور غیر مستقیم، اما به‌شکل مطمئن شرایط خود را رقم می‌زند.»
جیمزآلن                                                                    ",سبک زندگی,https://newcdn.fidibo.com/images/books/1508_65798_normal.jpg
8,ترک آسان سیگار به روش آلن کار,آلن کار,افسانه درویشی  ،                                                                                                             کاووس نویدان,"۱۴,۵۰۰ ", کتیبه پارسی," ۲۹,۰۰۰ ",۱۳۹۵/۱۰/۱۵, فارسی," 1.49 
                        "," ۲۶۸ 
                            ",978-600-94896-8-8,حالا دیگر کمتر کسی وجود دارد که از مضرات سیگار باخبر نباشد ولی همچنان بسیاری از افراد سیگار می‌کشند و با اینکه قصد دارند سیگار کشیدن را ترک کنند اما موفق به این کار نمی‌شوند و یا پس از مدتی مجدد به کشیدن سیگار روی می‌آورند. دلایل بسیاری وجود دارد که افراد به سراغ سیگار می‌روند ولی بسیار از آن‌ها می‌ترسند زندگی پس از ترک سیگار برایشان جذابیتی نداشته باشد و از روزمرگی خسته شوند. آلن کار در کتاب خود تلاش کرده است تا روشی را برای ترک سیگار معرفی کند که بسیاری از افراد تاکنون از آن نتیجه گرفته‌اند.,سلامت و رژیم درمانی,https://newcdn.fidibo.com/images/books/78109_81351_normal.jpg
9,هنر ظریف بی‌خیالی,مارک منسون,واحد ترجمه انتشارات کلید آموزش,"۱۵,۰۰۰ ", کلید آموزش," ۵۸,۰۰۰ ",۱۳۹۷/۰۱/۱۵, فارسی," 1.78 
                        "," ۲۴۰ 
                            ",978-600-274-094-6,دنیای امروز از انسان توقعات مثبت غیرواقعی دارد، از آن‌ها انتظار دارد هم بتوانند نویسنده‌ی خوبی باشند، هم در جلسات به‌خوبی سخنرانی کنند و هم برای مهمانی شام خوب بپوشند و از آرزوها و اهدافشان سخن بگویند. سالم‌تر، باهوش‌تر، پولدارتر و هزاران توقع دیگر که از انسان می‌رود تنها باعث می‌شود آدم‌ها در گردونه‌ای ناتمام گرفتار شوند و هر روز برای چیزی که نیستند تلاش کنند. توقعات دنیای امروز به انسان یادآوری می‌کند که چه کمبودهایی دارد و چه چیزی نیست که درنهایت سبب افسردگی و کمال‌گرایی نامطلوب می‌شود. «مارک منسون» وبلاگ‌نویس آمریکایی با در نظر گرفتن این موضوع کتاب معروف «هنر ظریف بی‌خیالی» را به نگارش درآورده است و برای اولین بار از رهایی از نگرانی‌های پوچ و بیخود روزمره‌ی جهان کنونی که هیچ تأثیری در اصل زندگی ندارند صحبت می‌کند.,سبک زندگی,https://newcdn.fidibo.com/images/books/84257_53832_normal.jpg
