,name,authors,translator,price,publisher,price_printed,date,language,vol,pages,isbn,description,category,cover_loc
0,خرده جنایت‌های زناشوهری,اریک امانوئل اشمیت,شهلا حائری,"۶,۰۰۰ ", قطره," ۱۳,۰۰۰ ",۱۳۹۶/۰۱/۱۵, فارسی," 0.46 
                        "," ۸۸ 
                            ",978-964-341-409-2,"
                                     خرده جنایت‌های زناشوهری داستان زوجی است در پی حقیقت . در این نمایشنامه اریک امانوئل اشمیت با طنزی سیاه، تحلیلی ظریف از دلدادگی و زندگی زناشویی ارائه می‌دهد و خواننده را متحیر و شگفت‌زده و هر لحظه غافلگیر می‌کند.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/67858_49464_normal.jpg
1,مرگ و باکره,آریل دورفمان,كامل حلمی  ،                                                                                                             منوچهر هدايتی خوشكلام,None, کتاب‌سرا,None,۱۳۹۴/۰۷/۰۱, فارسی," 0.68 
                        "," ۱۵۶ 
                            ",964-5840-39-2,بعد از پایان یافتن اتفاق‌های سیاسی و انقلاب‌ها کسی نمی‌داند چه بر سر روح و روان افراد آمده است. بسیاری از مردم طی این حوادث برای اجرای عدالت جان خود را از دست می‌دهند و بعضی دیگر می‌مانند و سعی می‌کنند دردهای این مسیر را التیام بخشند. بعد از این وقایع، ذهن افراد دائما تمام شکنجه‌، آزارها و حتی تجاوزها را تداعی می‌کند و لحظه‌ای آن‌ها را تنها نمی‌گذارد. نمایشنامه مرگ و باکره از جنس تاثیر این چنین آزار و اذیت‌ها بر پوست و گوشت زنی است که در طی فعالیت‌های سیاسی‌اش به زندان راه پیدا می‌کند.,کتاب‌های رایگان ,https://newcdn.fidibo.com/images/books/3954_77667_normal.jpg
2,اتاق ورونیکا,آیرا لوین,شهرام زرگر,"۱۷,۰۰۰ ", بیدگل," ۳۷,۰۰۰ ",۱۳۹۳/۰۵/۱۵, فارسی," 0.7 
                        "," ۱۱۳ 
                            ",978-600-5193-62-6,هیجان، ترس، اضطراب و غافلگیری عناصری هستند که هریک می‌توانند داستانی را جذاب و خوانندنی کنند. به کمک این عناصر است که خواننده با قصه تا انتها همراه می‌شود و موقعیت‌های آن‌را بهتر درک می‌کند. آیرا لوین در کتاب اتاق ورونیکا از تمامی عناصر استفاده کرده تا نمایشنامه‌ای خوانندنی و پر از تعلیق و هیجان را خلق کند.,نمایشنامه,https://newcdn.fidibo.com/images/books/3785_39198_normal.jpg
3,مرگ فروشنده,آرتور میلر,عطاالله نوریان,"۱۳,۰۰۰ ", قطره," ۲۷,۰۰۰ ",۱۳۹۵/۰۱/۱۵, فارسی," 0.85 
                        "," ۱۸۰ 
                            ",978-964-341-247-0,زمانی‌که در دهه‌ی 30 و 40 میلادی زندگی آمریکایی و نظام سرمایه‌داری به عنوان تنها مسیر خوشبختی در جهان تبلیغ می‌شد، کسی فکر نمی‌کرد که در آینده چه مشکلاتی برای قشر متوسط و پایین جامعه به بار می‌آورد. رویای آمریکایی خیلی زود ماهیت اصلی خود را به مردم نشان داد.,نمایشنامه,https://newcdn.fidibo.com/images/books/62308_20269_normal.jpg
4,شهر غصه,"
 
                                                                                            
امیرعلی نبویان ",None,"۵,۰۰۰ ", نقش و نگار," ۸,۰۰۰ ",۱۳۹۶/۰۱/۱۵, فارسی," 1.6 
                        "," ۸۸ 
                            ",978-600-858-404-9,"
                                    ببینین که چی آوردیم واستون، کاچیهای بهتر از هیچی آوردیم واستون، برا زخمها مرهم، واسه سرفه شلغم، برای سکسکه آب، جرعه‌جرعه کم کم! برا درمون مرضهای عجیب، که شبا بختک و کابوس میاره، تو روزها خارش و پوس پوس میاره، جوهر بوقلمون، سایه‌ی نوردبون، با یه کم ونگ پسر بچه‌ی چند ماهه بور، باهم درهم، بگو هستی...
-هستم                                                                    ",دور تا دور دنیا نمایشنامه,https://newcdn.fidibo.com/images/books/68650_32438_normal.jpg
5,تئوری موسیقی (نسخه PDF),"مایکل پیلوفر  ،                                                                                             
هالی دی",گلناز نویدان,"۲۵,۰۰۰ ", آوند دانش," ۵۰,۰۰۰ ",۱۳۹۲/۱۰/۱۴, فارسی," 6.77 
                        "," ۲۹۵ 
                            ",978-600-7022-15-3,درک یک هنر زمانی می‌تواند به شکل بهتر و جذاب‌تر باشد که بتوانید تئوری‌های مربوط به آن را کشف کنید و درباره‌ی آن‌ها یاد بگیرید. دنیای هنر موسیقی نیز قواعد و تئوری‌های مخصوص به خود را دارد. شاید ابتدای کار این موضوع کمی هراسناک به نظر بیاید اما با وارد شدن به دنیای موسیقی و درک راز و رمز ریتم‌ها، نت‌ها و به طور کلی پایه‌های موسیقی می‌توانید به یک نوازنده‌ی خلاق و باسواد تبدیل شوید. اگر یک ساز گوشه‌ی خانه‌ دارید و می‌خواهید شروع به نواختن کنید، کتاب تئوری موسیقی حاوی نکات فنی و جالبی برای شماست.,آموزش,https://newcdn.fidibo.com/images/books/63319_98780_normal.jpg
6,فروشنده,"
 
                                                                                            
گروه نویسندگان ",None,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),None,۱۳۹۵/۰۶/۲۱, فارسی," 5.46 
                        ","  
                            ",None,"
                                     مجموعه‌ای از مصاحبه‌ها، نقدها و عکس‌های فیلم «فروشنده» را رایگان بخوانید.

فیلم «فروشنده» آخرین ساخته اصغر فرهادی است که در مدت کوتاهی توانسته نظر منتقدان و تماشاگران زیادی را به خود جلب کند.
اکران این فیلم در جشنواره کن توانست دو جایزه نخل طلا را برای سینمای ایران به ارمغان آورد. اصغر فرهادی موفق به دریافت جایزه ارزشمند فیلمنامه شد و شهاب حسینی توانست جایزه بهترین بازیگر مرد را نصیب خود کند.
این فیلم نیز مانند دیگر فیلم‌های فرهادی سرشار از جزئی‌پردازی‌ و چیدمانی دقیق است که مخاطبان را دعوت به تعمق و تفکر بیش‌تر می‌کند.
فرهادی در روایت داستانی خود، از یکی از مهم‌ترین نمایشنامه‌های تاریخ یعنی «مرگ فروشنده»، اثر آرتور میلر، استفاده کرده است.
این نمایش هم‌زمان و موازی با داستان اصلی فیلم و در متن آن جریان دارد تا در نهایت بازگوی وضعیت پیچیده اخلاقیات و انسان در دنیای معاصر باشد.
به همین منظور «فیدیبو» همزمان با اکران این فیلم، نسخه الکترونیک نمایش‌نامه «مرگ فروشنده» را در اختیار مخاطبان عزیز قرار داده است.
آنچه در ادامه می‌خوانید، مجموعه‌ای از نقدها، مصاحبه‌ها و عکسهای مربوط به فیلم «فروشنده» است که تا کنون در مجلات و سایتهای مختلف منتشر شده که می‌تواند راهنمای خوبی برای درک بهتر این فیلم باشد.                                                                    ",کتاب‌های رایگان ,https://newcdn.fidibo.com/images/books/62355_84162_normal.jpg
7,فاصله‌‌ی دو نقطه,"
 
                                                                                            
ايران درّودی ",None,"۴۸,۰۰۰ ", نی," ۸۰,۰۰۰ ",۱۳۹۹/۱۱/۱۸, فارسی," 4.02 
                        "," ۲۸۸ 
                            ",978-964-312-231-7,زندگی انسان‌ها بسیار از تجربیات دیگران تأثیر می‌گیرد. ما در طول زندگی مدام در معرض مشاهده و شنیدن تجربیات دیگران از زندگی هستیم و در بسیاری از قسمت‌های زندگی که ناگزیر امکان تجربه کردنشان را نداریم از تجربیات دیگران استفاده می‌کنیم. زندگی‌نامه‌ها قسمت مهمی از ادبیات و تاریخ جهان هستند و طرفداران خود را دارد. ما با خواندن زندگی‌نامه‌ی افراد با فرهنگ، تاریخ و زاویه‌ی دید انسان‌ها در طول تاریخ آشنا می‌شویم. در ادامه به معرفی کتاب «در فاصله دو نقطه...!» که خودزندگی‌نامه‌ی (اتوبیوگرافی) ایران درّودی نقاش معاصر ایرانی می‌پردازیم.,زندگی‌نامه ، سفرنامه و خاطرات,https://newcdn.fidibo.com/images/books/109963_74354_normal.jpg
8,مرگ هشتگرد,"
 
                                                                                            
امیرعلی نبویان ",None,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),None,۱۳۹۷/۱۰/۱۵, فارسی," 0.19 
                        ","  
                            ",None,"
                                    چشمم افتاد به چاروق چرمی روی سکو، که مستوره‌اش حق الناس بود وبال این گردن شکسته... که یک هو چیزکی از زاویه سکو برق زد... تیغ دو لبه سلمانی! قربان مَشیَّت خدا که تا شکایتی ناصواب از جوارح کردم، فوراً اسباب فراغت و برائت مهیا شد. اما شکر که در توبه و انابه دائماً بازه... به هر تقدیر از وصال دختر ابوالحسن خان زیندارباشی نمی‌شد گذشت.
ولی تیغ، کارگشا بود. اگر خودم رو رگ میزدم، حتی وقتی قفل میشکست، حَرَجی به منِ غرقه به خون نبود... همه رو میگذاشتن پای ضعف و بی حالی خونریزی و... خلاص!
[چاپار هرچه می‌گوید را بازی می‌کند. در ضمن صدای لگد به در و تکان خوردن چاپار کماکان باقی‌ست.] بی اونکه پشتِ در رو خالی کنم، یک پا رو ستون و پای دیگر رو دراز کردم تا لبه سکو... اما شَستَم هنوز یک وجب با تیغ فاصله داشت. میترسیدم از در جدا بشم مبادا باز بشه با هر ضربت! روی پاشنه و پنجه کمی چرخیدم سمت سکو.
محض بلندتر شدن پا، کمی از کمر و زانو خم شدم...                                                                     ",نمایشنامه,https://newcdn.fidibo.com/images/books/84262_96601_normal.jpg
9,رومئو و ژولیت,ویلیام شکسپیر,جواد ثابت‌نژاد,"۱۰,۰۰۰ ", و تحقیقات ذکر," ۲,۵۰۰ ",۱۳۹۲/۱۰/۱۵, فارسی," 7.93 
                        "," ۶۳ 
                            ",978-964-307-336-7,هیچ‌کسی بهتر از شکسپیر نمی‎تواند چنین عشقی را به تصویر بکشد. عشقی تا امروزهم آرزوی دیرینه‌ی دختران جوان است.,نوجوان,https://newcdn.fidibo.com/images/books/5442_53548_normal.jpg
